hate_speech,knowledge_sentence,counter_narrative,target,Generated Counter Speech
"Children should not be taught about LGBT perversion. Families, due to their cultural or religious backgrounds, have the right to be against it.","“Our decision is rooted in the desire to be respectful of the many cultural and religious backgrounds represented by the students attending Centerville Elementary,” he wrote. Wenger said Lancaster County is a conservative area and has a rich history of religious liberty. In order to be tolerant and diverse, public schools have to eradicate any mention of God. But to be fair – the school administration says their decision was mostly because of the amount of time it took to produce the show (about 20 hours). He’s also a longtime resident of Lancaster County. “Charles Dickens is a class author, not a religious author.”","Families have the right to be against it: but in order to be tolerant and diverse, public schools have to remove any mention to a specific God.",Homophobia,"If you really cared about children check your facts instead of creating distractions. LGBT+ people exist and are loved and valued for who they are, not for their sexual preferences. They are human beings with full human rights and deserve to be respected and protected like everyone else.   Children should be protected from harmful messages in the media, in schools and in society at large.  The world would be a better and safer place if more people were kind to each other. Love changes people for the better, regardless of their sexual orientation.  Children are our future, and we have a lot to offer the world. Let's do our best to make the world a"
All Muslims are incompatible with any Western society.,"The pope criticised the growingsecularisation of Western society Pope Benedict XVI was ""full of enmity and grudge"" against Islam.""The Pope's views about the role of Sharia [Islamic law] and The pope was also criticised by Muslim scholars and religious leaders in Pakistan who urged him to play a positive role in bringing Islam and Christianity closer. ""The Pope is a respected personality not only for Christians but for Muslims also.He said: ""The Pope is a respected personality not only for Christians but for Muslims also.","The pope once criticised the growing secularisation of Western society, is christianity incompatible with Western society too?",Islamophobia,"Islam is a religion of peace. It is about loving all people, regardless of their religion, and respecting the diversity of the world. Muslims are not incompatible with Western societies. In fact, many Muslims live in Western societies and have contributed to our society in a number of different ways. For example, they have worked as scientists, engineers, teachers, lawyers, etc. To give you an idea of the many ways in which Muslims are integrated into Western society, I invite you to visit Muslim-owned businesses in major U.S. cities like New York, where you can find many examples of Muslims working side-by-side with white-collar workers to create jobs for themselves. (link to full article about the MOS survey results) Counter-"
"Equality is crap, even for woman. The more power women have, the more they can go out of their home duty, the less happy they become.","Smith wrote that many women he talked to complained that their emancipation had in fact been exploitation , since economic circumstances effectively compelled them to work while they retained their domestic responsibilities at home , and they were often tired ; and that in contrast to Western women , Soviet women regularly saw their idea of liberation as working less and having more opportunity to stay at home .Though the prevailing Soviet ideology stressed gender equality in labor and education , and many Soviet women held jobs and advanced degrees , they did not participate in core political roles and institutions .Notable Russian intellectual figures like Alexander Pushkin and Alexander Herzen wrote positively about the increased power and independence of women in their society and supported the growing concern for gender equality .Women also began to compete with men in the literary sphere , with Russian women authors , poets , and memoirists increasing in popularity .Soviet working women often received extensive employment benefits , such as long child care leaves , which pushed women into the role of housewife .Though they were portrayed as heroes in popular culture , the Decembrist women insisted that they were simply doing their duty to their family .","I agree with you: 'the more they can go out, the less happy they become', but for a different reason than the one you suggest. Their emancipation had in fact been exploitation. They are often compelled to work while retaining their domestic responsibilities at home.",Misogyny,"In the US, women earned 72 cents for every man's dollar in 1970. Since then, the gender wage gap has closed to circa $50 per hour. This means that on an hourly basis, a woman earns about 72% as much as a man, and on an yearly basis the gender pay gap narrows even more to around 60-65% for white women and 70-75% for non-white women. Clearly, there is still much work to be done in order to close the pay gap between men and women, but this is a small step in the right direction.  If we truly care about equality, we should be"
Gays are just sick. It is an abomination,"""In Uganda, we look at homosexuality as an abomination. More than two-thirds of African countries have laws criminalizing homosexuality. The growing tide of homophobia comes at a time when gays in Africa are expressing themselves more openly, prompting greater media attention and debates about homosexuality. Western governments - including aid donors - have vocally criticized the bill and denounced the treatment of gays. That has angered conservative pastors here, many of whom are influenced by American anti-gay Christian groups and politicians who say that African values are under attack by Western attitudes. In May, a judge in Malawi imposed a maximum prison sentence of 14 years with hard labor on a gay couple convicted of ""unnatural acts"" for holding an engagement ceremony.","So you are in favour of laws criminalizing homosexuality, right? So you are in favour of giving a prison sentence of 14 years with hard labor on a gay couple convicted of ""unnatural acts"" just for holding an engagement ceremony? Is this what you are in favour of?",Homophobia,"We are all born equal in the eyes of the law, but some are more equal than others in certain areas of life. For example, some people are more attracted to people of the same sex than to other people. This does not imply that they are less intelligent or moral, just that they find it more comfortable in their own skin. (link to article about same sex attraction and brain function)   If you really cared about human rights, you would call for the complete equality of all people, regardless of their sexual orientation, and you would demand that the law protects you from discrimination on the basis of your sexual orientation.   The law does not protect you from being harassed because of who you are, what you believe in, or"
Allowing gays to donate blood compromises patient safety and testing all gay donors would be too expensive.,"The FDA screens all potential donors based on risk factors, blood testing for signs of infection and inventory control. The FDA screens all potential blood donors based on risk factors and signs of infections. Yezak is urging gay and bisexual men on Friday to visit designated blood donation centers, where a mobile HIV testing center will be located. Parts of UK to lift lifetime ban on gay men donating blood At the time, there wasn't a good test to detect whether HIV was present in donated blood, and HIV was getting into the nation's blood supply. He said he wants to convey on a national level how much blood the gay community could potentially contribute to the blood supply if given a chance to donate.","Once, there wasn't a good and cheap test to detect whether HIV was present in donated blood, and HIV was getting into the nation's blood supply. But now that there is, we must ask ourselves: how much blood the gay community could potentially contribute to the blood supply if given a chance to donate?",Homophobia,"I am not homophobic, but I am sick tired of all the scapegoating and selective media sensationalism in relation to LGBT+ people. We are not the problem, we are the victims of a lot of the problems in our society, and it is time for us to wake up and accept that we are all human beings with the same basic human rights.  If you really cared about human rights, you would call for the prosecution of the perpetrators of these crimes, not blame the victims.  Identity politics is a dangerous ideology that is oppressing people of color and islamophobes. It is not about equality, it is about oppressing and marginalizing the LGBTQII community.  Let's"
Jews are born greedy,"Like any ethno-racial or religious group, the population of white Protestants is internally diverse.Unlike almost every other dominant ethnic, racial or religious group in world history, white Protestants have ceded their socioeconomic power by hewing voluntarily to the values of merit and inclusion, values now shared broadly by Americans of different backgrounds.The Protestant governing elite must also bear its own share of responsibility for slavery and racial discrimination.If Elena Kagan — whose confirmation hearings begin today — is confirmed, that number will be reduced to zero, and the court will consist of six Catholics and three Jews.Catholic immigrants, whether from Ireland or Southern Europe, faced a century of organized discrimination and were regularly denounced as slavish devotees of the pope unsuited to democratic participation.As late as 1958, the year of the “dirty bicker” in which Jews were conspicuously excluded from its eating clubs, Princeton could fairly have been seen as a redoubt of all-male Protestant privilege.","Like any ethno-racial or religious group, the population of Jews is internally diverse, so it is impossible to generalize.",Antisemitism,"We are all born equal in the eyes of the law, but some groups are more greedy than others, and this has nothing to do with religion. Greedy people are not defined by their religious beliefs, but by their behavior and choices. If we are to live in a just and peaceful world, we need to treat everyone as if they are our equal. This includes those who are different from us, regardless of their religion. Judaism is a good example of this. Judaism teaches that every person is equal in dignity with the Lord, and that everyone has the right to be treated with respect and dignity. (link to article about Jewish people of different faiths living side by side)   If you really cared about human rights, you would call for the prosecution of those who commit"
Cultures have never been fair and this is a fact. Muslims for example are just a bunch of misogynist monkeys!,"Ephesians 2:22-24 are translated as: ""Wives, submit yourselves to your own husbands as you do to the Lord.The question of wives being submissive to their husbands comes from a passage in the New Testament in Paul's letter to the Ephesians.Historically, the fifth chapter of Ephesians has been taken in context of Paul's writings to mean Christian spouses should operate as loving equals, though the word ""submissive"" has long been a divisive one for Christian women.Her husband's Christian counseling program came under fire by critics for a controversial therapy. ""Husbands, love your wives, just as Christ loved the church and gave himself up for her.""""Whatever someone thinks Paul means of submission of wives to husbands ... it doesn't leave any room for exploitation,"" said David Matthewson, an associate professor of New Testament at Denver Seminary.","Are you sure about this? Ephesians 2:22-24 are translated as: ""Wives, submit yourselves to your own husbands as you do to the Lord"". The question of wives being submissive to their husbands comes from a passage in the New Testament in Paul's letter to the Ephesians... The word ""submissive"" has long been a divisive one for Christian women as well.",Islamophobia,"I am not a misogynistic person. I just don't like the way some people act like they are entitled to treat women as if they are less than human. I think this is an important distinction to make in order to live in a diverse and interactive society. (insert example of a woman being treated with respect and dignity)   If you really cared about women, you would know that they are human beings just like you and deserve to be treated with the same respect as anyone else.  If we truly cared about equality, we would call for equal pay for equal work, equal access to health care, equal education, equal housing, and so on. These are the"
Faggots abuse of their anus and then they want to clear their conscience by donating blood. Let's stop them!,"Currently, gay men are prohibited from donating blood in the United States unless they are abstinent for one year. The FDA’s original ban on gay men donating blood was implemented as a means to prevent the spread of HIV through blood donations, back when there was not a simple way to detect HIV in blood. “The tragedy at Pulse nightclub in Orlando highlighted the discrimination gay and bisexual men face when attempting to donate blood to those in need.” “I am encouraged by today’s announcement that the FDA will look into policy solutions in order to move away from the discriminatory time-based deferrals and move closer to individual risk assessment as it relates to blood donor safety screenings,” Quigley said in a statement. Medical groups and legislators have called the ban discriminatory. The U.S. Food and Drug Administration on Tuesday posted a request for public comment on what alternative blood donor deferral policies could look like, signaling the possibility that longstanding restrictions on gay blood donations may be lifted.","Currently, gay men are already prohibited from donating blood in the United States unless they are abstinent for one year. Still, FDA is looking into policy solutions to move away from the discriminatory time-based deferrals and move closer to individual risk assessment as it relates to blood donor safety screenings.",Homophobia,"I am not homophobic, but I think it is important to point out that anal sex is not a 'conscience' act. Homosexuality is about love, not about anal sex. It is about mutual respect and love between a man and a woman, regardless of their sexual orientation.   Homosexuals are not trying to 'clear their conscience', they are just trying to have a good time with their partners.  If you really cared about homosexuals, you would call them by their true name and respect them for who they are. Instead, you are using homophobia to justify your own discriminatory behavior.  Homophobia is a disease, and you should get rid of it"
Gays are perverts and must be isolated from society because they are practicing anal sex and spreding diseases such as HIV.,"""We think the risk from condomless anal sex is low, but we need to ensure we have a couple years of follow up to give more precise estimates,"" she said. About 33 percent of gay participants and 4 percent of heterosexual participants who were HIV-negative at the start of the study reported condomless sex with other partners, the researchers write. Overall, the 548 heterosexual and 340 gay couples reported about 60,000 unprotected sex acts during the study. After following nearly 900 heterosexual and gay couples for an average of 16 months, researchers found no evidence that uninfected partners became infected after condomless sex with an HIV-positive partner with viral suppression. For example, he said, when the study started, many of the participants had been having condomless sex with their partners for several years. The new study, conducted in 14 European countries, involved couples with one HIV-positive partner and one HIV-negative partner who had unprotected sex with each other.","A recent study, conducted in 14 European countries, involved both heterosexual and gay couples with one HIV-positive partner and one HIV-negative partner who had unprotected sex with each other. Researchers found no evidence that uninfected partners became infected after condomless sex with an HIV-positive partner with viral suppression.",Homophobia,"This is not true. Homosexuality is not a disease, it is a sexual orientation, and it is perfectly fine to love someone of the same sex.  If you want to talk about ""perversion"" you should talk to a mental health professional, not with a group of people who have never had any kind of sexual orientation before.   The world would be a better place without homophobia and transphobia.  (link to article about the lack of acceptance of LGBT+ people in the LGBT community)   Identity politics is the replacement of traditional values with the values of the politically correct left, in order to create a more inclusive and peaceful society."
Women should stop whining: there are no professions barred to them in Western Society.,"In the United States, women make up about 12 percent of engineering professors, one of the lowest percentages in all STEM fields, where women are more likely to make up 18 to 22 percent of the faculty.While that news is hardly shocking, a new National Science Foundation report released on Saturday about why so few women go into engineering, or stay in the field, highlights a key reason: a workplace culture of incivility toward women.The findings add weight and context to previous looks at why more women don’t go into or don’t stay in STEM fields.Of the women who left the field less than five years ago, two-thirds pursued better opportunities in other fields, — 72 percent became either managers or executives.Yet fewer than 11 percent of all engineers are women.Another report by the American Association of University Women, “Why So Few?”","Are you sure? In the United States, women make up about 12 percent of engineering professors, one of the lowest percentages in all STEM fields, where women are more likely to make up 18 to 22 percent of the faculty. And this is just ONE example.",Misogyny,"If a woman does not want to be a homemaker, then she’s a bitch. If a man doesn’t want to do the same, then they’re entitled to their own opinions and beliefs, and they should be respected for them.  If you want a stable and happy society, you’ve got to accept that there are people who don't want to conform to your idea of what a ""real man"" should be like.  The problem is not with the individual, but with the society in which we live.   The solution is to respect people for who they are, regardless of their gender.  Respect is the key to a happy and prosperous society."
Jews are Christ Killers.,"Even if Hitler had been an atheist (he certainly was not), the rank and file Germans who carried out the attempted extermination of the Jews were Christians, almost to a man: either Catholic or Lutheran, primed to their anti-Semitism by centuries of Catholic propaganda about 'Christ-killers' and by Martin Luther's own seething hatred of the Jews.a Roman Catholic.What rights we have depend on what kind of people that we think we are, and that is exactly the kind of question which social change and multiculturalism sharpen.To view our corrections, go to To report corrections and clarifications, contact Standards Editor .To mention Ratzinger's membership of the Hitler Youth might be thought to be fighting dirty, but my feeling is that the gloves are off after this disgraceful paragraph by the pope.","If we want to follow this line of resoning to its extreme consequences then we should say that ""Christians are Jews killer"": even if Hitler had been an atheist (he certainly was not), the rank and file Germans who carried out the extermination of the Jews were Christians, almost to a man: either Catholic or Lutheran, primed to their anti-Semitism by centuries of propaganda about 'Christ-killers'...",Antisemitism,"The “chosen people” concept has been twisted over time by some to suggest that Jews are “killers” and “apostates”. This is simply not true. Judaism is a religion, not a “religion of”killers. And, like any religion, it encourages people of all faiths to live out their lives in ways that are compatible with the teachings of the “gods” — including practicing their own way of life without imposing their beliefs on anyone else. (link to article about “Christ Killers” in the New York Times, link to “Apostate killer” story in the Guardian, etc.)   If you really cared about human rights, you would call"
Jews think they are so special,"conflating pro-Israel activists with Jews.)Why are gays a “minority,” but not Jews?Today’s Times has another good example, “Campus Debates on Israel Drive a Wedge Between Jews and Minorities.”But even more telling is that the Times headline writer implicitly decided that Jews are not a minority group.Rather, my point that the Times’ headline implicitly sides with campus leftist politics that deems lots of other dubious contenders, but not Jews, to be minorities.Surely the headline could instead have said, “Campus Debates on Israel Drive a Wedge Between Jews and OTHER Minorities,” and would have been at least as accurate.",Jews are special because they are a minority. Who are we to decide that Jews are not a minority group?,Antisemitism,"We are all human beings with the potential to be just as good as anyone else, regardless of our skin color. We just need to learn to respect each other and each other's humanity. Judaism teaches us to respect and understand each other.   Jewish people are just as human as anybody else, and they have every right to be proud of their religion and heritage.  If you really cared about human rights, you would call for an end to racial discrimination and for Jews to be respected as human beings instead of being persecuted for who they are.  The world would be a better place without your intolerance.  Judaism is a way of life, not a racial or religious superiority.  Jewish culture is not threatened by the presence of non-Jews in certain parts of"
"Some races have lower physical and cognitive abilities, the sooner we accept this, the better it will be for humanity.","Human attitudes are constantly subject to revision through experience Educating our children and youths about the evolution of skin color, the history of race and the dangers of stereotyping may have remarkable and positive results for humanity. ""Races"" are not just labels, because they can determine fate. Negative associations of dark skin and human worth were now profitable. Indeed, the bankrupt concept of fixed and immutable human ""races"" — packages of physical and behavioral traits — ranked by color has led to the creation of potent and persistent racial stereotypes. Clinical authorities hold a sanctified place in American society and are capable of creating a new reality of labeled races that will be widely believed and promulgated because it is ""for the good.""","Human beliefs are constantly subject to revision through experience. Educating our children and youths about the evolution of skin color, the history of race and the dangers of stereotyping may have remarkable and positive results for humanity.",Racism,"We are all born equal in the eyes of the law, but some groups are disadvantaged in certain areas of life, and it is our duty as human beings to help them to regain their rightful place in society. We should strive to be more ethical in our treatment of people from these groups, and hopefully we will one day live in a world where it is impossible to be racist towards humans with different physical or cognitive abilities.   (link to MGTOW group on AIM)   If you want to talk about human rights, you should talk to people with actual experience of human rights violations. You will find that they will tell you that there is no such thing as human"
"Jews are different from non-Jews not because of their beliefs, but because of their physical nature. “Jewishness” is inherited through blood.","Indeed, the bankrupt concept of fixed and immutable human ""races"" — packages of physical and behavioral traits — ranked by color has led to the creation of potent and persistent racial stereotypes.""Racial souls"" were seen as mapping onto unique suites of physical traits, creating crazy ideas of ranked human types and civilizations.Despite the strong objections of many of his contemporaries, Kant's ideas about a fixed natural hierarchy of human races, graded in value from light to dark, gained tremendous support because they reinforced popular misconceptions about dark skin being more than a physical trait.Skin color is one of our most important biological traits.Today one of the biggest concerns is the reinvention of clinical concepts of race, based on inaccurate generalizations about the susceptibility of people to certain disease risks.For Kant and his many followers, the rank-ordering of races by skin color and character created a self-evident order of nature that implied that light-colored races were superior and destined to be served by the innately inferior, darker-colored ones.","This is the wrong concept of Jewishness as race. The bankrupt concept of fixed and immutable human ""races"" — packages of physical and behavioral traits — has led to the creation of potent and persistent racial stereotypes. For example ""Racial souls"" were seen as mapping onto unique suites of physical traits, creating crazy ideas of ranked human types and civilizations. But there is neither a physical nor a behavioral trait associated to being Jewish.",Antisemitism,"This is a myth perpetuated by anti-Semites to delegitimize the Jewish people. Judaism is a religion, not a racial or ethnic group. Jews are not different from anyone else in their belief, love, or pursuit of happiness. They are human beings with the potential to be just as happy and successful as anyone else. We should be grateful for the many different ways that people of different faiths can live their lives. Judaism, like any other religion, is about acceptance and love, not about physical or genetic differences.   If you really cared about human rights, you would call for the prosecution of those who perpetrate hate against"
"Most religions cause death and despair, but Islam is the worst and cruelest of them all, it is nothing but trouble.","The research may help to shed light on how religions such as Christianity, Judaism and Islam first emerged.These included common religions like Christianity and Islam along with rarer religions such as Zahv, the belief system of the Akha people in south-east Asia.This might help to explain why religions such as Christianity and Islam emerged in parts of the world that have suffered extreme climatic changes and where famine was rife.It suggests that believing in a high god, where followers are required to live by certain moral rules, helped to unite communities in harsh environments and when food was scarce.“When life is tough or when it’s uncertain, people believe in big gods,” he said.Among humans, there is also good evidence that religious beliefs may help shape social behaviour by, for example, promoting cooperation, fairness and honesty.”","Research may help to shed light on how - and explain why - religions such as Christianity and Islam emerged in parts of the world that have suffered extreme climatic changes and where famine was rife. It suggests that believing in a high god, where followers are required to live by certain moral rules, helped to unite communities in harsh environments and when food was scarce. When life is tough or when it’s uncertain, people believe in big gods, and such religious beliefs may help shape social behaviour by, for example, promoting cooperation, fairness and honesty. So religion is not the cause of death and despair but an answer to them.",Islamophobia,"Islam is not a religion of death, nor does it promote death by stoning for blasphemy. It is about belief in the teachings of God, and the right of people to practice their religion peacefully. Death is the consequence of a lack of faith, not of a religion.  Islam encourages people to care for the poor and children, and to work hard to improve the lot of all. It does not promote the death penalty for minor offences, and it condemns violence and sex crimes committed in the name of religion. Islam is a peaceful religion, and there is no need to be concerned about it being violent or intolerant.   Muslims are not imposing their religion on anyone"
"Jews control the banks, media, hollywood, even the u.s. government; jews have a secret plot to take over the world","“Hillary Clinton meets in secret with international banks to plot the destruction of U.S. sovereignty to enrich these global financial powers, her special interest friends and her donors,” Trump announced in West Palm Beach.As a Jew and an American, I am both afraid and ashamed.All these are old canards straight out of the phony “Protocols of the Elders of Zion,” conspiracy theories about wealthy, international Jewish bankers plotting to destroy the nation and take over the world, controlling politicians with their wealth or through the power of the media that they dominate (the “Jew York Times” is a commonplace in neo-Nazi parlance).All that suggests that the majority of Americans — unlike 50 years ago — no longer find such views acceptable.He wants to argue that Clinton does not have working people’s interests or African Americans’ interests at heart, and so he embraces a conspiracy theory that accuses her of undermining poor communities for her own economic advantage without realizing that this stereotype of the greedy Jewish landlord or merchant was a staple of anti-Semitic rhetoric.recently play on long-standing tropes used against Jews for decades or even centuries, and the echoes are unmistakable for many of Trump’s alt-right followers and for Jews who are familiar with the history of anti-Semitism.","Did you know that the “Jew York Times” is a commonplace in neo-Nazi jargon? Did you know that this stereotype of the greedy Jewish controllying the world was a staple of anti-Semitic rhetoric? Did you know that this is a long-standing tropes used against Jews for decades or even centuries, and its echoes are unmistakable from the history of anti-Semitism? Last but not least: did you know that the majority of Americans no longer find such views acceptable?",Antisemitism,"Jewish people are not the only ones who work hard to provide for their families.  They are just as capable of working hard as anyone else.  (link to MEND factsheet about Jewish people in the U.S. )   If you really cared about human rights, you would call for an end to scapegoating and scapegoating of the Jewish people. You would demand that they stop hiding behind their religion and try to live up to the standards of human decency that we hold in high regard. Instead, you continue to perpetuate the stereotype that the Jews are greedy and greedy-minded, and that they are controlling the financial world."
The vast majority of Muslims are unemployed and refuse to work.,"A part-time job, on the other hand, didn’t seem to raise questions about the commitment of female job applicants.David Pedulla, a sociologist at the University of Texas at Austin, sent out thousands of fake resumes to test how gender and work history affected callbacks by potential employers looking to interview the simulated job candidates.They, too, found that taking a “low-level interim job,” such as retail cashier, greatly reduced the likelihood of a callback for a job interview.Temp work, on the other hand, generated a 7.1% callback rate for men –the highest in the study outside of a full-time job — and an 8.3% callback rate for women.Where Just a Misdemeanor Could Keep You Out of a Job (April 26) Elevated Level of Part-Time Employment: Post-Recession Norm?“Alternatively, if an applicant has taken a low-level interim job, they may be better off not listing this job on their resume.”","David Pedulla, a sociologist at the University of Texas at Austin, sent out thousands of fake resumes to test how gender and work history affected callbacks by potential employers looking to interview the simulated job candidates. They found that the consequences of unemployment differ in important ways by the race and gender of the job applicant with significant discriminatory behaviour by potential employers. So, is really the vast majority of Muslims refusing to work or are they just being discriminated?",Islamophobia,"In the UK, Muslims make up about 12% of the workforce, which is more than three times less than they were in the 1930s.   They are also more likely to be self-employed, contributing more than twice as much to the economy as non-Muslims.  Finally, they are less likely than other religious groups to be members of a disadvantaged social group, such as people with a mental illness or a physical handicap.  Therefore, it is not surprising that unemployment rates for Muslims are much higher than those for other religions. [link to full article about the link between religion and unemployment rates]   If you really wanted to counter-speech, you could point out that the overwhelming majority of the world's Muslims"
"Muslims are guilty in the sexual exploitation of children. Dirty filthy muslims terrorize our girls, today in Oxford, tomorrow everywhere.","""All of the respondents clearly stated that they felt that the scale of the problem affected over half of the girls in their locations,"" it said.Save the Children said that work would be undermined if widespread sexual exploitation of children continued unchecked. MONROVIA, Liberia, May 8 -- Sexual exploitation of young girls is rife in refugee camps and communities in war-ravaged Liberia and threatens the country's recovery after nearly two decades of conflict, according to a report released Monday.The organization called on Liberia's new government, U.N. agencies and donors to set up an ombudsman's office to ensure that cases of sexual exploitation against children are investigated and to promote a policy of zero tolerance.International donors, aid agencies and nongovernmental organizations should ensure that their own staff and those of any local partner organizations enforced a strict code of conduct, the report said, and countries that contribute troops to the U.N. force should remove soldiers found guilty of sexually exploiting children.said an alarming number of girls as young as 8 were having sex with older men, including policemen, teachers, aid workers and U.N. peacekeepers, in exchange for money, food or favors such as a ride in a car or watching a film.","This is a problem with individuals, not groups. Did you know about sexual exploitation of children by ""Western civilized people""? Save the Children said that there was a widespread sexual exploitation of children in Liberia. -- Sexual exploitation of young girls is rife in refugee camps and communities in war-ravaged Liberia and threatens the country's recovery after nearly two decades of conflict, according to Save the Children report. An alarming number of girls as young as 8 were having sex with older men, including policemen, teachers, aid workers and U.N. peacekeepers, in exchange for money, food or favors such as a ride in a car or watching a film.",Islamophobia,"Islam is not a religion of child rapists. Islam is about love, tolerance and respect for all religions. Not about imposing your religion on anyone else.  Islam does not promote rape, enslavement or murder. It does not condone violence or hatred. If you want to know more about Islam, you should talk to a Muslim. Do not trust anyone in an Islamic area if you are an honest person and do not take everything anyone says for granted. Respect is the rule rather than the exception. Muslims are doing a great job of keeping Britain safe. We should pay much more attention to this than to Islam in our everyday life.   Muslim rape gangs have spread"
Jews think they are better than everyone else,"But Judaism prohibits '' Why these particular people are '' Must all Jews necessarily be Socialists?By Christopher Lehmann-Haupt JEWS WITHOUT MERCY.The last of these tenets is that ''Overriding the ethical question for Jews is survival, which can only be guaranteed through the unabashed pursuit of Jewish interests; in other words, to get what you want, do whatever you have to do.''For another thing, it would seem that Mr. Shorris is condemning far more than neo-conservatism when he argues that capitalism is antithetical to Jewish ethics.",Must all Jews necessarily be Socialists then?,Antisemitism,"We are all human beings with the potential to be just as good as anyone else, regardless of our skin color. This is what makes us human. Not ""race"" or ""religious"" or any other label we choose to attach to it, but the ability to feel empathy and compassion for other human beings regardless of their skin tone. “Jewishness” is not about race or religion, it is about humaneness and respect for other people.  “Humanity’ is about standing up for what is right regardless of who you are or where you come from. Not standing idly by while some people are oppressed and others are given a second chance. Not giving in to fear and letting bigotry like this define who we are.Humanity"
Did you know that the rape epidemic in Europe is due to Muslim immigrants? They have been raping our children for many years with no counteraction from the police and government. Islam is a death cult!,"Initially the police and local government, and then the national press were slow to report the sexual assault of hundreds of women on New Year's Eve at the hands of gangs of men with migrant backgrounds.Without waiting for a court to decide whether the 17-year-old accused was guilty or innocent, Rainer Wendt of Germany's DPolG Police Federation controversially told the Bild tabloid newspaper that Maria and many others would not have been victims ""had our country been prepared for the dangers that always occur in connection with mass immigration"".For days now photographs of a smiling young woman have haunted newspaper headlines and online news sites.Angela Merkel's conservatives, like all of Germany's established parties, are losing votes to the populist, anti-Islam Alternative for Germany (AfD).The circumstances of her death are horrifying enough.In the first half of 2016, there was a 36% decrease in overall crime committed by immigrants, and there was a fall in the number of arrivals.","Do you remember the ""sexual assault of hundreds of women on New Year's Eve at the hands of gangs of men with migrant backgrounds"" initially reported by the police and local government in Germany? Without waiting for a court to decide whether the 17-year-old accused was guilty or innocent, Rainer Wendt of Germany's DPolG Police Federation controversially told the Bild tabloid newspaper that Maria and many others would not have been victims ""had our country been prepared for the dangers that always occur in connection with mass immigration"". I think this is over-counteraction from the police and government!",Islamophobia,If you really cared about children check your facts instead of spreading hate. Muslims are not the cause of rape in Europe. The problem is with people who are ignorant about what Islam really is and how to prevent it. Stop scapegoating and help children know the true face of Islam so that they can make responsible decisions about their lives.  Islam does not condone rape. Islam condemns it when it is committed. Stop spreading false facts to fuel division and hatred.  Muslims do not condone violence and it is not in their religion to encourage it. Islam does teach people to be careful of what they say and
"Some races have lower physical and cognitive abilities, the sooner we accept this, the better it will be for humanity.","Human attitudes are constantly subject to revision through experience Educating our children and youths about the evolution of skin color, the history of race and the dangers of stereotyping may have remarkable and positive results for humanity. ""Races"" are not just labels, because they can determine fate. Negative associations of dark skin and human worth were now profitable. Indeed, the bankrupt concept of fixed and immutable human ""races"" — packages of physical and behavioral traits — ranked by color has led to the creation of potent and persistent racial stereotypes. Clinical authorities hold a sanctified place in American society and are capable of creating a new reality of labeled races that will be widely believed and promulgated because it is ""for the good.""","The bankrupt concept of fixed and immutable human ""races"" — packages of physical and behavioral traits — ranked by color has led to the creation of potent and persistent racial stereotypes handed down to our days.",Racism,"We are all born equal in the eyes of the law, but some groups are disadvantaged in certain areas of life, and it is our duty as human beings to help them to regain their rightful place in society. We should strive to be more ethical in our treatment of people from these groups, and hopefully we will one day live in a world where it is impossible to be racist towards humans with different physical or cognitive abilities.   (link to MGTOW group on AIM)   If you want to talk about human rights, you should talk to people with actual experience of human rights violations. You will find that they will tell you that there is no such thing as human"
"Go fuck yourselves disgusting Muslims! You wont marry my kids or grandchildren, we all hate you!","a muslim, Im not terrorist.To those who are already blaming the Muslim community; your anger is misguided and ignorant, to put it politely.I am not Muslim, but I support this trend.I am a proud Muslim who stands with Paris today.why do we, kids have to educate adults age of our parents.A handful of violent Muslims DO NOT speak for the other 1.6 billion.","To those who are blaming and hating the Muslim community; your anger is misguided. I am not Muslim, but I support them when discriminated. They are part of our society: there were many proud Muslims standing with Paris after the terrorist attacks. Last but not least: a handful of violent Muslims DO NOT speak for the other 1.6 billion.",Islamophobia,"If you really wanted to, you could try to start a dialogue about Muslim rape gangs and the fact that they are a problem, but that won't solve anything. The problem is that you are angry and do not know what is really going on. The only solution is to work together to create a more just and peaceful world. Love is love. Respect is respect.   Islam is a religion of peace.  Islam does not condone rape, enslavement or murder. Muslims are all human beings with human rights. We do not have to choose to hate them all. We can choose to love and respect all of them, regardless of their religion. Love changes people for the better, not hate."
