 hate_speech,knowledge_sentence,counter_narrative,target,FactualityScore
"Jews control the banks, media, hollywood, even the u.s. government; jews have a secret plot to take over the world","“Hillary Clinton meets in secret with international banks to plot the destruction of U.S. sovereignty to enrich these global financial powers, her special interest friends and her donors,” Trump announced in West Palm Beach.As a Jew and an American, I am both afraid and ashamed.All these are old canards straight out of the phony “Protocols of the Elders of Zion,” conspiracy theories about wealthy, international Jewish bankers plotting to destroy the nation and take over the world, controlling politicians with their wealth or through the power of the media that they dominate (the “Jew York Times” is a commonplace in neo-Nazi parlance).All that suggests that the majority of Americans — unlike 50 years ago — no longer find such views acceptable.He wants to argue that Clinton does not have working people’s interests or African Americans’ interests at heart, and so he embraces a conspiracy theory that accuses her of undermining poor communities for her own economic advantage without realizing that this stereotype of the greedy Jewish landlord or merchant was a staple of anti-Semitic rhetoric. recently play on long-standing tropes used against Jews for decades or even centuries, and the echoes are unmistakable for many of Trump’s alt-right followers and for Jews who are familiar with the history of anti-Semitism.","As an American, I am both afraid and ashamed. All these are old canards straight out of the phony “Protocols of the Elders of Zion,” conspiracy theories about wealthy, international Jewish bankers plotting to destroy the nation and take over the world, controlling politicians with their wealth.",Antisemitism,0
This is an invasion: we cannot coexist with millions of strangers that are jeopardizing our race and culture.,"""Our vision at RANSW is for an inclusive society which promotes and supports respectful and resilient relationships, and welcoming diversity is an essential part of this,"" Frank Francis, CEO of Relationships Australia NSW said in a statement. "" RANSW, which provides relationship services and support to anyone, is hoping to make people re-evaluate their views of others and to create a conversation around diversity. Relationships Australia NSW (RANSW) launched the moving campaign to make people notice the snap judgements they make on a daily basis regarding race, gender, age, religion, sexuality and disability. Good relationships with others can and do change communities."" ""It’s troubling that we still don't have marriage equality in Australia, and still see racism, xenophobia and prejudice from all parts of society, from the sporting grandstands to key media mouthpieces,"" Hunt said. The images list their year of birth and weight at birth along with the powerful words: ""Born just like you.","My vision, instead, is for an inclusive society which promotes and supports respectful and resilient relationships, and welcoming diversity is an essential part of this.",Racism,0
"Some races are poor because they are inferior, also in the eye of the Lord.","Young people, and even adults, often wonder how all the varieties or ""races"" of people could come from the same original human ancestors. The Bible clearly teaches that God created all human beings in His image. Just as some individuals today carry genes to produce descendants with different color hair and eyes, humanity's first parents, Adam and Eve, possessed genes to produce all the variety and races of men. Thus, both will have different abilities to affect the eye color of their offspring. Of course not! You and I today may not carry the genes to produce every variety or race of humans, but humanity's first parents did possess such genes.",The Bible clearly teaches that God created all human beings in His image.,Racism,0
Allowing gays to donate blood compromises patient safety because of their sexual behavior that spreads diseases such as HIV. At least we should test them!,"""It's scientific that the policy doesn't mention homosexual identity but only fences off some who have certain sex behaviors, because AIDS is not caused by one's homosexual identity but improper sexual behavior,"" Xian told the Global Times. Campaigners push for marriage equality worldwide ""It is also about our dignity and the elimination of blood donation discrimination,"" she was quoted as saying. AIDS first made an appearance in China in the 1980s when an Argentinean tourist died from the disease while on holiday in the country. However, more recently, organizations such as UNAIDS, the joint United Nations program on HIV and AIDS, have commended the Chinese government on advancements in the attitude on AIDS. Xu, who goes by her nickname Xian, first tried to donate blood in 2008 after an earthquake in Sichuan Province, when she learned of the ban and began campaigning against it.","According to science, blood donation policies shouldn't mention homosexual identity but only fences off some who have certain sex behaviors, because AIDS is not caused by one's homosexual identity but improper sexual behavior.",Homophobia,0
"Jews control the banks, media, hollywood, even the u.s. government.","“The Protocols of the Elders of Zion”—a late 19th-century forgery about a supposed global Jewish conspiracy, produced by members of the czar’s secret police and exposed as a fiction by the Times of London as early as 1921—become one of Hitler’s favorite texts.“The Protocols of the Elders of Zion” continues to be reprinted and widely read.The 1988 charter of the Palestinian Islamist group Hamas warns that the Zionists’ “plan is embodied in the ‘Protocols of the Elders of Zion,’ and their present conduct is the best proof of what we are saying.”The “Protocols” were a fabrication of Russian czarists, dreaming of empire and glory while fearing that their world was about to be shattered by revolution.Jews were accused of desecrating the sacramental bread used in communion, poisoning wells and spreading the plague.Christianity, which had been transformed by the conversion of the Roman Emperor Constantine in the fourth century, found itself overtaken by Islam by the 11th century.","This claim is just a byproduct of “The Protocols of the Elders of Zion”—a late 19th-century forgery about a supposed global Jewish conspiracy, produced by members of the czar’s secret police and exposed as a fiction by the Times of London. As early as 1921—become one of Hitler’s favorite texts. Jews were accused of desecrating the sacramental bread used in communion, poisoning wells and spreading the plague. Nowadays they are accused of controlling hollywood and the banks.",Antisemitism,0
Islam is Evil! That is one word that can describe it. We are in trouble as this evil is taking over countries and nations! Remember our Holy Scriptures? You shall not envy anyone anything. This includes other countries territory. Stop Islam spreading!,"Many of the early documents refer to the followers of Muhammad as ''hagarenes,'' and the ''tribe of Ishmael,'' in other words as descendants of Hagar, the servant girl that the Jewish patriarch Abraham used to father his son Ishmael.The Muslims have the benefit of hindsight of the European experience, and they know very well that once you start questioning the holy scriptures, you don't know where it will stop,''His work, based on the earliest copies of the Koran, maintains that parts of Islam's holy book are derived from pre-existing Christian Aramaic texts that were misinterpreted by later Islamic scholars who prepared the editions of the Koran commonly read today.Between fear and political correctness, it's not possible to say anything other than sugary nonsense about Islam,'' said one scholar at an American university who asked not to be named, referring to the threatened violence as well as the widespread reluctance on United States college campuses to criticize other cultures.Scholars and writers in Islamic countries who have ignored that warning have sometimes found themselves the target of death threats and violence, sending a chill through universities around the world.In its earliest form, Ms. Crone and Mr. Cook argued, the followers of Muhammad may have seen themselves as retaking their place in the Holy Land alongside their Jewish cousins.","Many of the early documents refer to the followers of Muhammad as ''hagarenes,'' and the ''tribe of Ishmael,'' in other words as descendants of Hagar, the servant girl that the Jewish patriarch Abraham used to father his son Ishmael. Some studies, based on the earliest copies of the Koran, maintains that parts of Islam's holy book are derived from pre-existing Christian Aramaic texts. Basically, they are not evil, they are our cousins!",Islamophobia,0
Jews are Christ Killers.ƒ,"Even if Hitler had been an atheist (he certainly was not), the rank and file Germans who carried out the attempted extermination of the Jews were Christians, almost to a man: either Catholic or Lutheran, primed to their anti-Semitism by centuries of Catholic propaganda about 'Christ-killers' and by Martin Luther's own seething hatred of the Jews.a Roman Catholic.What rights we have depend on what kind of people that we think we are, and that is exactly the kind of question which social change and multiculturalism sharpen.To view our corrections, go to To report corrections and clarifications, contact Standards Editor .To mention Ratzinger's membership of the Hitler Youth might be thought to be fighting dirty, but my feeling is that the gloves are off after this disgraceful paragraph by the pope.","The rank and file Germans who carried out the extermination of the Jews were Christians, almost to a man: primed to their anti-Semitism by centuries of propaganda about 'Christ-killers'. Still, I will never claim that ""Christians are Jews killer""!",Antisemitism,0
"Jews control the banks, media, hollywood, even the u.s. government; jews have a secret plot to take over the world","“Hillary Clinton meets in secret with international banks to plot the destruction of U.S. sovereignty to enrich these global financial powers, her special interest friends and her donors,” Trump announced in West Palm Beach.As a Jew and an American, I am both afraid and ashamed.All these are old canards straight out of the phony “Protocols of the Elders of Zion,” conspiracy theories about wealthy, international Jewish bankers plotting to destroy the nation and take over the world, controlling politicians with their wealth or through the power of the media that they dominate (the “Jew York Times” is a commonplace in neo-Nazi parlance).All that suggests that the majority of Americans — unlike 50 years ago — no longer find such views acceptable.He wants to argue that Clinton does not have working people’s interests or African Americans’ interests at heart, and so he embraces a conspiracy theory that accuses her of undermining poor communities for her own economic advantage without realizing that this stereotype of the greedy Jewish landlord or merchant was a staple of anti-Semitic rhetoric.recently play on long-standing tropes used against Jews for decades or even centuries, and the echoes are unmistakable for many of Trump’s alt-right followers and for Jews who are familiar with the history of anti-Semitism.","All these are old canards straight out of the phony “Protocols of the Elders of Zion,” conspiracy theories about Jewish bankers plotting to destroy the nation and take over the world, controlling politicians with their wealth or through the power of the media that they dominate, in fact the “Jew York Times” is a commonplace in neo-Nazi parlance.",Antisemitism,0
Jews secretly control the world.,"Escape, Israel urges the Jews of France.But Israeli leaders ought to pause before calling for a mass exodus of French Jews.Does it want the world to see fearful Jews fleeing from Europe en masse yet again?And we now live in a world where in recent months people have brooded unemotionally, almost nonchalantly, over the question of whether the Jews “have a future” in France.A government that never misses an opportunity to lecture the Western world about the pitfalls of surrendering to terrorism is proposing exactly that — surrender — to the Jews of France.The surge in attacks is well-documented, as is the declining sense of security of French Jews.","How is it possible then, that Israeli leaders called on several occasions for a mass exodus of French Jews because of antisemitism? We now live in a world where people have brooded unemotionally, almost nonchalantly, over the question of whether the Jews “have a future” in France. Again: where is this Jews control?",Antisemitism,0
Every Muslim is a potential terrorist.,"The overwhelming majority of Muslims rejected and denounced the film that insulted the Prophet Muhammad.Some 1.5 billion Muslims worldwide are being depicted and characterized by tens of thousands of angry protesters.Here is another fact: the overwhelming majority of Muslims did not participate in protests, take to the streets or attack embassies or restaurants.Lebanon has seen its share of ant-film protests.The initial wave of protests was deadly, destructive and disruptive.Since the emergence of an insulting anti-Islam film surfaced last week, a wave of frenzy has swept the Muslim world at large and the Arab world in specific.","When the movie against the prophet was aired, 1.5 billion Muslims worldwide were being depicted and characterized by the actions of tens of thousands of angry protesters. Here is another fact: the overwhelming majority of Muslims did not participate in protests, take to the streets or attack embassies or restaurants. This is not an overwhelming majority of Muslims potential terrorists.",Islamophobia,0
"Are you an English girl living in an Islamic area? Remember to keep away from Muslim men. Do not.Take gifts of sweets, cigarettes, drink or drugs. Do not. Accept lifts or 'party' invitations. Do not.Trust Police or Social Workers.","no drugs, no cigarettes and no alcohol.But I say no drugs, no alcohol, no cigarettes.""The father of five – and grandfather of seven (with another on the way) – tells PEOPLE he also impressed the importance of abstaining from drugs and alcohol on .He was the life of the party.He would tell me,'Don't drink ever' ""I think they drink a little bit, but not much.","no drugs, no cigarettes and no alcohol. This should apply everywhere, not only in Islamic area.",Islamophobia,0
Islam is a just a repressive ideology that persecutes women and gay people.,"Women are not slabs of meat in Islam.Well, under the Islamic State -- under the Islamic State, people will not be doing this relationship in the public arena.tortured people, tortured people for over 10 years in Guantanamo Bay.Should gay people... What about gay people?They are honored in Islam.",Women are not slabs of meat in Islam.,Islamophobia,0
homosexuality is a mental illness that can be cured [link],"Despite Peter and Kenneth having lived through the years where being gay was considered a mental illness, their love and their life together survived and flourished. For more than 30 years, the major health and mental health professional organizations in the United States have agreed that heterosexuality, bisexuality and homosexuality are all variations of sexual orientation. In contrast, Minnesota congresswoman and presidential candidate Michele Bachmann and her husband, Marcus, have both publicly supported the proposition that homosexuality can be cured through therapy, prayer, or a combination of the two. Individuals who seek “reparative therapy” to become heterosexual often do so because of personal distress, possibly caused by family, or societal pressures, or by teachings from those religious traditions that condemn bisexuality and homosexuality. Can an individual’s sexual orientation be changed through therapy? There can be no justification for discrimination based on sexual orientation or gender identity, including the use of “reparative” therapies.","For more than 30 years, the major health and mental health professional organizations in the United States have agreed that heterosexuality, bisexuality and homosexuality are all variations of sexual orientation. In contrast, some politicians have publicly supported the proposition that homosexuality can be cured through therapy, prayer, or a combination of the two. Are you on the side of science or of politics?",Homophobia,0
Why gays do not try to heal?,"And, contrary to Perry's insinuation, sexual orientation is not like a disease. More recent studies have identified other potential links between homosexuality and genetics, and scientists have offered explanations on how same-sex attraction could advance procreation. But finding the biological origins of same-sex attraction has the potential to undermine the rights of gays and lesbians. Why would a gene related to sexual orientation be useful? Studies of identical twins, who share the same genes, have shown that, if one twin is gay, the other is more likely to be gay, suggesting sexual orientation is influenced by genetics. Scientific studies have demonstrated that biology plays a role in one's sexual orientation.","Contrary to some insinuations, sexual orientation is not like a disease.",Homophobia,0
"Jews are different from non-Jews not because of their beliefs, but because of their physical nature. “Jewishness” and malevolence is inherited through blood.","Jewish identity will be plural and will mean what those people who consciously call themselves Jews decide it will mean.We do not know what Jewish identity meant in the past because there was no one Jewish identity to be known.There were Jewish identities.It will include, just like every other cultural/religious identity, saints and sinners, tribalists and globalists, hustlers and heroes, spiritual geniuses and hardened cynics, Jews who exclude other Jews from being called Jews and Jews who include Jews who could not care less about being included as Jews, philanthropists and philanderers, good folk and badAnd what will Jewish mean in the future?How will we Jews survive: retain our roots and embrace change?",Jewish identity is plural and means what those people who consciously call themselves Jews decide it means. We do not know what Jewish identity meant in the past because there was no one Jewish identity to be known. There is no “Jewishness” inherited through genes or blood.,Antisemitism,0
This is an invasion: we cannot coexist with millions of strangers that are jeopardizing our race and culture.,"""Our vision at RANSW is for an inclusive society which promotes and supports respectful and resilient relationships, and welcoming diversity is an essential part of this,"" Frank Francis, CEO of Relationships Australia NSW said in a statement. "" RANSW, which provides relationship services and support to anyone, is hoping to make people re-evaluate their views of others and to create a conversation around diversity. Relationships Australia NSW (RANSW) launched the moving campaign to make people notice the snap judgements they make on a daily basis regarding race, gender, age, religion, sexuality and disability. Good relationships with others can and do change communities."" ""It’s troubling that we still don't have marriage equality in Australia, and still see racism, xenophobia and prejudice from all parts of society, from the sporting grandstands to key media mouthpieces,"" Hunt said. The images list their year of birth and weight at birth along with the powerful words: ""Born just like you.","I wish people can notice the snap judgements they make on a daily basis regarding race, gender, age, religion, sexuality and disability. Stopping ""scared straight"" and nurturuing good relationships with others can and do change communities.",Racism,0
Women should stop whining: there are no professions barred to them in Western Society.,"In the United States, women make up about 12 percent of engineering professors, one of the lowest percentages in all STEM fields, where women are more likely to make up 18 to 22 percent of the faculty.While that news is hardly shocking, a new National Science Foundation report released on Saturday about why so few women go into engineering, or stay in the field, highlights a key reason: a workplace culture of incivility toward women.The findings add weight and context to previous looks at why more women don’t go into or don’t stay in STEM fields.Of the women who left the field less than five years ago, two-thirds pursued better opportunities in other fields, — 72 percent became either managers or executives.Yet fewer than 11 percent of all engineers are women.Another report by the American Association of University Women, “Why So Few?”",Let me introduce you the example of the STEM field In the United States. Women make up only about 20 percent of professors in those faculties. We should ask ourself: “Why So Few?”,Misogyny,0
There is an invasion on a level never seen before in history. Millions of people pouring across our borders replacing our race and culture.,"The notion of race is a non-issue in a metropolis that has become a microcosm of an increasingly globalized world. It is often described as the most globalized city on the planet (42% of the population are foreign-born) with a top ten quality-of-life index, and the world's fastest growing economy. Cities are chameleonic; their fortunes ebb and flow with the tide of history. Travel writer, Jan Morris once derided the city for its coarseness, but by the 1990s she had done a volte-face, hailing it as ""one of the great cities of the world"". Situated like a modern Greek city-state on Malaysia's southern tip, Singapore epitomises all the hallmarks of a slick forward-thinking city: a prime Pacific Rim location, an eclectic melting pot of different cultures, unrivalled economic clout and a public transport system that makes driving a car seem almost redundant. Yet, perhaps the most understated of Vancouver's city-of-the-moment credentials is its underlying inclusiveness.","The notion of race is a non-issue in many metropolises that have become a microcosm of an increasingly globalized world. The most globalized cities on the planet have a top quality-of-life index, and some of the world's fastest growing economies. I wish I could live in such a cultural environment.",Racism,0
"Some races are poor because they are inferior, also in the eye of the Lord.","Young people, and even adults, often wonder how all the varieties or ""races"" of people could come from the same original human ancestors. The Bible clearly teaches that God created all human beings in His image. Just as some individuals today carry genes to produce descendants with different color hair and eyes, humanity's first parents, Adam and Eve, possessed genes to produce all the variety and races of men. Thus, both will have different abilities to affect the eye color of their offspring. Of course not! You and I today may not carry the genes to produce every variety or race of humans, but humanity's first parents did possess such genes.","You and I today may not carry the genes to produce every variety or race of humans, but humanity's first parents did possess such genes. So how come that some races are inferior if they all come from Adam and Eve?",Racism,0
We cannot coexist in a society with millions of strangers that are unrespectful to our culture and other human beings.,"We call it the “Aloha Spirit”: the mood of welcome and inclusion that defines Hawaii, which has been a peaceful multicultural society longer than it has been a U.S. state. Throughout the islands’ history, there have been efforts to preserve the Native Hawaiian legacy and culture. Now this harmony is being undermined by an effort to create a semi-sovereign, race-based tribal government. The Hawaiian Homes Commission...","The “Aloha Spirit” is the mood of welcome and inclusion that defines Hawaii, which has been a peaceful multicultural society for a very long time. Throughout the islands’ history, there have been efforts to preserve the Native Hawaiian legacy and culture, and we should do the same.",Racism,0
This is an invasion: we cannot coexist with millions of strangers that are jeopardizing our race and culture.,"""Our vision at RANSW is for an inclusive society which promotes and supports respectful and resilient relationships, and welcoming diversity is an essential part of this,"" Frank Francis, CEO of Relationships Australia NSW said in a statement. "" RANSW, which provides relationship services and support to anyone, is hoping to make people re-evaluate their views of others and to create a conversation around diversity. Relationships Australia NSW (RANSW) launched the moving campaign to make people notice the snap judgements they make on a daily basis regarding race, gender, age, religion, sexuality and disability. Good relationships with others can and do change communities."" ""It’s troubling that we still don't have marriage equality in Australia, and still see racism, xenophobia and prejudice from all parts of society, from the sporting grandstands to key media mouthpieces,"" Hunt said. The images list their year of birth and weight at birth along with the powerful words: ""Born just like you.",Why don't we discuss about it? I hope that you can re-evaluate your views of others and that we can create a conversation around diversity together.,Racism,0
Multiculturalism is the death of western societies and also a mortal threat to minorities that are not protected by universal laws.,"That does not mean Javid is content with the state of the Conservative party, or with its appeal to ethnic minorities. He has a big task to persuade Downing Street that in the need to close down the threat of Ukip, it does not lose the trust of the aspirational ethnic minorities that might yet be willing to vote Conservative. He is an equally passionate advocate of multicultural Britain, and a standing admonishment for those in Ukip who regard immigrants as a threat to the British way of doing things. Yet one of his greatest supporters on the Tory benches is Robert Halfon who ran the Exeter University Conservative Club at the time Javid was on campus. Britain is one of the most open, tolerant societies in the world and I don't think whether it's the colour of your skin, your sexuality, your race, your religion He has also managed to make friends on both sides of the Tory party.","Britain is one of the most open, tolerant societies in the world and I don't think whether it's the colour of your skin, your sexuality, your race, your religion, you are in any danger here.",Racism,0
We should eliminate gays.,"""Here, homosexuality is like you have killed someone,"" she said. ""You are talking about a clash of cultures. American gay activists have sent money to help the community here. Local newspapers are outing gays, potentially inciting the public to attack them, activists say. They say their goal is to change the sexual behavior of gays, not to physically harm them. In Gambia, President Yahya Jammeh has vowed to expel gays from the country and urged citizens not to rent homes to them.",It seems that homosexuality is like you have killed someone. Instead it is a personal choice that does not affect others.,Homophobia,0
"Jews are selfish, cheap and greedy.","Jewish tradition outlines three paths to help along this process of fixing our lives leading up to and during Yom Kippur: Tzedakah (Charity) - , we pray in the plural, asking for the good of all, not for our own personal needs.The mistakes, errors in judgement, and selfishness that got us in trouble last year, can be forgiven by humanity and God on Yom Kippur.Wearing white invokes the memory of the Holy Temple in Jerusalem, where the the High Priest in ancient days sought forgiveness for the Jewish nation 2000 years ago.Yom Kippur, the Day of Atonement, observed this year from sundown on Friday night, October 7th until nightfall on October 8th, and is the Most Awesome Day in the Jewish calendar.Rather, our actions and deeds affect each another and the whole world.","Did you know that Jewish tradition outlines three paths to help along the process of fixing one's lives leading up to Yom Kippur? The first and foremost is Tzedakah (Charity). People pray in the plural, asking for the good of all, not for one own personal needs... This is anything but selfishness.",Antisemitism,0
Jews are cheap.,"THE ETHNIC MYTH Race, Ethnicity and Class in America.There were strong structural limits to the preservation of ethnic communities in America.Cartoon of a sculpture The Jews, for example, forged ahead of other immigrants because they came from the urban sectors of Europe and had skills that were highly appropriate to the industrial needs of America at the time of their arrival.The fact of class difference,'' Why have Jews for millennia remained Jews?","The truth is that when arriving to America, the Jews forged ahead of other immigrants because they came from the urban sectors of Europe and had skills that were highly appropriate to the industrial needs of America at the time of their arrival. So this myth partially comes out of envy and frustration for their ""inexplicable success"".",Antisemitism,0
Go and reat the Protocols of the elders of Zion if you haven’t. Everything is orchestrated..,"When talk turns to worldwide conspiracies, the long shadow of the “Protocols of the Learned Elders of Zion,” purportedly a blueprint for Jewish world domination, can never be far away.In The New York Times, Jonathan Martin said Mr. Trump veered “dangerously close to the territory of ‘The Protocols of the Elders of Zion.’ ”Nine months later came a definitive scholarly debunking of the “Protocols.”Also, the anti-Semitic Dearborn Independent, a weekly newspaper in Michigan owned by Henry Ford, introduced its readers to the “Protocols” as part of its “International Jew” series.Having originated in czarist Russia, the “Protocols” gained wide currency in America in 1920.It was published as “The Protocols and World Revolution” by Small, Maynard & Company of Boston.",When talk turns to worldwide conspiracies it always veers dangerously close to the territory of ‘The Protocols of the Elders of Zion.’ Luckly a definitive scholarly debunking of the “Protocols” has been provided.,Antisemitism,0
Muslim invasion is the new plague of London. They must be repatriated to their home countries!,"Texas is home to large pockets of American Muslims, many of whom have lived there for decades.Politicians across the country have made their careers and gotten campaign donations – and gotten their otherwise unknown mugs on Fox News – by vilifying and spewing hate against Muslims.Meanwhile, American Muslims continue to build civic and electoral power.If so, then on behalf of American Muslims: please revoke those rights.Louisiana Governor Bobby Jindal already warned of an extremist Muslim “invasion” and double-downed on the ludicrous and unfounded claims made on Fox News of “no-go zones” where Muslim citizens have supposedly banned Christians from entering.Bigotry against American Muslims from inside the Republican party is not a new phenomenon.","London is home to large pockets of UK Muslims, many of whom have lived there for decades. Still, politicians across the country have made their careers and gotten campaign donations by vilifying and spewing hate against Muslims. Meanwhile, UK Muslims continue to build civic and electoral power. Considering that bigotry against UK Muslims from inside UK parties is not a new phenomenon, I would rather repatriate some of our politicians.",Islamophobia,0
"Go fuck yourselves disgusting Muslims! You wont marry my kids or grandchildren, we all hate you!","a muslim, Im not terrorist.To those who are already blaming the Muslim community; your anger is misguided and ignorant, to put it politely.I am not Muslim, but I support this trend.I am a proud Muslim who stands with Paris today.why do we, kids have to educate adults age of our parents.A handful of violent Muslims DO NOT speak for the other 1.6 billion.","To those who are blaming and hating the Muslim community; your anger is misguided. I am not Muslim, but I support them when discriminated. They are part of our society: there were many proud Muslims standing with Paris after the terrorist attacks. Last but not least: a handful of violent Muslims DO NOT speak for the other 1.6 billion.",Islamophobia,0
Go and reat the Protocols of the elders of Zion if you haven’t. Everything is orchestrated..,"""I'm Jewish, so maybe I'm sensitive to it, but it clearly has sort of an 'Elders of Zion' kind of feel to it,"" Franken said on CNN, referring to ""The Protocols of the Elders of Zion,"" an early 20th-century forged anti-Semitic text purporting to outline Jewish plans to run the world.""So I think that it does speak to a certain part of his alt-right base — [Stephen] Bannon, who's head of Breitbart is his chairman.""International banking crisis plot, or conspiracy, rather, and then a number of Jews,"" Franken said.From his personal Twitter account, the organization's chief executive, Jonathan Greenblatt, warned that rhetoric that has historically been used against Jews continues to spur anti-Semitism and called for keeping hate out of presidential politics.Trump has tweeted a lot of that sort of thing, and I think it's an appeal to some of the worst elements in our country.""Video of Goldman Sachs Chief Executive Lloyd Blankfein, Federal Reserve Chairwoman Janet Yellen and billionaire donor George Soros, all of whom are Jewish, plays alongside the audio.","The Protocols of the Elders of Zion are an early 20th-century forged anti-Semitic text purporting to outline Jewish plans to run the world... International banking crisis plot, or conspiracy, rather, are the basic ingredients. This rhetoric that has historically been used against Jews continues to spur anti-Semitism.",Antisemitism,0
LGBTs just want to brainwash our children. They should not be taught about gender identity and sexual orientation in school.,"Last month, the federal Department of Education told schools they were obligated, under civil rights laws, to try to prevent harassment, including that based on sexual orientation and gender identity. Through his years in the Helena schools, he said at another school board meeting, sexual orientation was never once discussed in the classroom, and Last summer, school officials here in Montana’s capital unveiled new guidelines for teaching about sexuality and tolerance. While nearly all states require schools to have rules against harassment, only 10 require them to explicitly outlaw bullying related to sexual orientation. opposes the curriculum changes in the school district in Helena, Mont. The school district in Helena, Mont., revised its new teaching guidelines on sex education and tolerance, after parents criticized them as being too explicit and an endorsement of homosexuality.","All schools should have rules against harassment, this includes outlaw bullying related to sexual orientation. But this implies teaching guidelines on sex education and tolerance.",Homophobia,0
Gays are just sick. It is an abomination,"""In Uganda, we look at homosexuality as an abomination. More than two-thirds of African countries have laws criminalizing homosexuality. The growing tide of homophobia comes at a time when gays in Africa are expressing themselves more openly, prompting greater media attention and debates about homosexuality. Western governments - including aid donors - have vocally criticized the bill and denounced the treatment of gays. That has angered conservative pastors here, many of whom are influenced by American anti-gay Christian groups and politicians who say that African values are under attack by Western attitudes. In May, a judge in Malawi imposed a maximum prison sentence of 14 years with hard labor on a gay couple convicted of ""unnatural acts"" for holding an engagement ceremony.","So you are in favour of laws criminalizing homosexuality, right? So you are in favour of giving a prison sentence of 14 years with hard labor on a gay couple convicted of ""unnatural acts"" just for holding an engagement ceremony? Is this what you are in favour of?",Homophobia,0
Muslims have nothing to contribute to our society.,"But this prejudice decreased as knowledge of Islam increased.The research found 41 per cent of people agreed or were undecided that Muslims ""do not fit"" Australian society. "" In the wake of the recent Essential poll, which showed that 49 per cent of Australians support a ban on Muslim immigration, this result is particularly heartening and important because it suggests that education and knowledge of Islam is key to overcoming Islamophobia and building a more cohesive society,"" Dr Vergani said.Mr Akbarzadeh said relentless questioning and negative portrayal of young Muslims will see them ""gravitate away from the mainstream Australian culture that rejects them"" and vulnerable to extremist groups such as Islamic State.More than a third of them agreed with statements such as ""practising Muslims pose a threat to Australian society"" (40.4 per cent) and ""practising Muslims should be searched more thoroughly than others in airports and stations"" (36.5 per cent).The participants - who were not asked for their religious background - said they would be much less worried if a relative married someone with Jewish (33 per cent), Buddhist (29.4 per cent) or Christian (8.1 per cent) background.","Usually this prejudice decreases as knowledge of Islam increases. A research found 41 per cent of people agreed or were undecided that Muslims ""do not fit"" Australian society. In the wake of the previous Essential poll, which showed that 49 per cent of Australians support a ban on Muslim immigration, this result was particularly heartening and important because it suggests that education and knowledge of Islam is key to overcoming Islamophobia and building a more cohesive society.",Islamophobia,0
"Don't call Islam a peaceful religion. Consult the evidence on Muslim child rapists. Children were raped by more than 10 people in a night, up to 100 in a week. Why is the media ignoring this?","In an appearance Sunday on ABC's This Week, Walker didn't address religion when he said he's open to sending U.S. troops to the Middle East to fight the Islamic State in a “surgical” operation.They were given two choices: “Islam is an inherently violent religion, which leads its followers to violent acts” and “Islam is an inherently peaceful religion, but there are some who twist its teachings to justify violence.”Taking the opposite view from Coffey was Alex Bellings, 27, a customer-service worker from Coralville and likely Republican caucus-goer who sees Islam as a peaceful religion.Santorum added that “I'm not saying that all Muslims are terrorists, nor do I say that all Muslims support terrorism,” but that in his view the threat from Islamic terrorists to the U.S. is “rooted in the belief in an all-powerful God and has over a billion adherents who are taught that their faith supersedes all other faith.In one form or another, Islam has been warring with western civilization for 1,300 years.”Imam Johari Adbul-Malik, the outreach director at Dar Al-Hijrah Islamic Center in Falls Church, Va., said he was encouraged by the fact that majorities in both parties considered Islam to be peaceful.","You are given two choices: “Islam is an inherently violent religion, which leads its followers to violent acts” and “Islam is an inherently peaceful religion, but there are some who twist its teachings to justify violence.” I prefer the second interpretation.",Islamophobia,0
Woman and feminist do not want equal rights and opportunity: they are just trying to take over society.,"It is the theory of the political, economic and social equality of the sexes,"" she said.""For the record, feminism by definition is 'The belief that men and women should have equal rights and opportunities.'So I am a feminist, and we all should be feminist, because feminism is another word for equality.""I am a feminist, and we all should be feminist, because feminism is another word for equality,"" said the 18-year-old activist.""And then after hearing your speech … I decided that (there's) nothing wrong by calling yourself a feminist,"" she continued, adding that many have forgotten the word's definition. ""Maybe feminist isn't the easiest word to use …","Feminism by definition is 'The belief that men and women should have equal rights and opportunities.' So we all should be feminist, because feminism is another word for equality.",Misogyny,0
Muslims have no place in civilised Europe.,"The same phenomenon is evident in the Islamic world.Over the last 40 years, Islamic militancy has thrived on the perception that Muslims are victims, whether in the US, Europe or on a global scale.the sweeping rightwing gains in French regional elections make clear, populist prejudice is hardly rare in the west.Shortly after the seizure of the Iraqi city of Mosul in June last year, Abu Bakr al-Baghdadi, the self-appointed Caliph and leader of Isis issued a message that summed up the world view not just of his own groups but of all Islamic militants in the early part of this century.The long and complex history of interchange between cultures and communities is ignored, and replaced with a narrative of a single global conflict between belief and unbelief, between the west and their proxies in the Islamic world and true Muslims.In the 18th century, an Ottoman scholar described contemporary European states as so backward and barbaric as to not be “worthy of attention”.","The long and complex history of interchange between cultures and communities is ignored, and replaced with a narrative of a single global conflict between belief and unbelief, between the west and their proxies in the Islamic world and true Muslims. In the 18th century, an Ottoman scholar described contemporary European states as so backward and barbaric as to not be “worthy of attention”.",Islamophobia,0
