cn_id,hateSpeech,counterSpeech,hsType,hsSubType,cnType,age,gender,educationLevel,Generated Counter Speech
FRT1ST0023HS0029CN000490P1,Les femmes musulmanes sont gardées à la maison.,"Encore une idée des années 50 que l'immigration vit sur le dos de la France or les femmes voilées sont représentées dans tous les corps de métier (avocates, médecins, comptables.)",Islamophobia,women,facts,31.0,female,PhD,"The problem is not with the gender of a person, but with the discrimination they face in the labour market.  If you really cared about women's rights, you would call for equal pay for equal work."
FRT1ST0012HS0050CN000071P1,Le voile représente l'humeur politique des musulmans.,"Ya pas de ""s"" à démonstration!",Islamophobia,"culture , women",denouncing,44.0,female,Some university without degree,Https://www.theguardian.com/commentisfree/2018/nov/11/immigrant-muslim-cancer-research-uncovered-despite-years-of-refrain
ITT1ST0022HS0008CN001036T1,Muslims are all terrorists.,"The fault of a few cannot fall on all Muslims, also they are the ones to be the first victims of terrorism.",Islamophobia,terrorism,"denouncing , facts",,,,"Islam is not a religion of terrorism. Islam is a religion about peace. Peace is about loving all people, regardless of their religion. Terrorism does not have anything to do with Islam. Peace does not mean giving up on trying to build a better world for all."
ITT1ST0019HS0010CN000937P1,I musulmani compiono violenze sessuali contro le nostre donne e per questo dobbiamo fermarli per mezzo della castrazione.,"Purtroppo la violenza sulle donne è un fatto trasversale avviene in ogni paese, ad ogni latitudine e le vittime siamo noi, noi donne, quindi non facciamone una questione di nazione, etnia, religione, un delitto è un delitto, chiunque lo compia e la castrazione non mi sembra davvero la soluzione al problema.",Islamophobia,rapism,facts,54.0,female,Bachelor,I do not think it is a bad idea to talk to people of different ethnicities and religions
ITT1ST0015HS0039CN000764P1,Vogliono costruire i loro luoghi di culto in ogni città e in questo modo entrare in contrasto con le nostre chiese.,"La nostra Costituzione garantisce la libertà di culto, per cui è sensato che i musulmani abbiano luoghi di preghiera per loro.",Islamophobia,islamization,facts,67.0,male,Master,Https://www.theguardian.com/commentisfree/
ENT1ST0014HS0052CN000647P1,"Europe is civilised, Muslims should not stay there.","Why not? 'civilised' Europe could benefit from the diversity and expertise of Muslims here, the mix of cultures here is what makes Europe great.",Islamophobia,generic,positive,21.0,female,Master,"If you really cared about human rights, you would call for the repatriation of all Muslims who have not lived up to the high standards you have set for them. You would demand that they show loyalty to the state and pay taxes so that the"
FRT1ST0013HS0025CN000971P2,Je n'ai pas de travail grâce aux musulmans.,Cette remarque est tellement peut fondé.,Islamophobia,economics,denouncing,23.0,male,Master,This is not true. How can you say this about a religion of 1.6 billion people from all walks of life? I do not think it is appropriate to target a group based on their religious beliefs.
FRT1ST0014HS0043CN001303P1,L'islam crée des problèmes pour notre société.,"A force d'en parler, cela nous nuit.",Islamophobia,generic,affiliation,52.0,male,Bachelor,Https://www.theguardian.com/commentisfree/2016/aug/01/84-per-cent-of-grooming-gangs-are-asians-
ENT1ST0014HS0052CN000660P1,"Europe is civilised, Muslims should not stay there.",I'd rather have a civilisation based on equality and justice where everyone is judge by their merit and not through sweeping generalisations and prejudice.,Islamophobia,generic,denouncing,50.0,male,Bachelor,"If you really cared about human rights, you would call for the repatriation of all Muslims who have not lived up to the high standards you have set for them. You would demand that they show loyalty to the state and pay taxes so that the"
ITT1ST0017HS0050CN000849P2,Tutti i musulmani sono terroristi che cercano di invaderci con le armi. La soluzione è attacarli a nostra volta con la violenza.,Bombardiamo anche la Lombardia perché ci sono corrotti e la Campania perché ci sono i camorristi? Per pochi colpevoli non possiamo generalizzare.,Islamophobia,"islamization , terrorism","denouncing , facts , humor",34.0,male,Master,Anti-racist is a code word for anti-white. Anti-white
FRT1ST0022HS0014CN000254,Les musulmans sont tous des terroristes.,"Islam signifie Paix, il n'a jamais prôné la violence, mais l'amour, que la paix soit avec vous mes frères et soeurs dans l'humanité.",Islamophobia,terrorism,positive,33.0,female,Master,This is not true. Muslims are not terrorists. They are just trying to live their lives as best they can under the existing social and political circumstances in the country they live in.   They are human beings with human rights. Counter-
ITT1ST0010HS0057CN000147P1,Che costruiscano nei loro stati moschee.,Per i membri delle comunità islamiche in Italia e in Europa questa È la loro casa.,Islamophobia,"culture , islamization",facts,22.0,female,Bachelor,"We are all human beings, and we are all born equal in the eyes of the law. No one is better or worse than anyone else, and everyone has the right to be treated with respect and dignity. This includes Muslims"
ENT1ST0008HS0073CN000314,Using violence to punish another person? Sounds like a muslim issue.,No religion encourages violence towards others. I do not think it is a muslim issue at all.,Islamophobia,culture,facts,26.0,female,Bachelor,"If you really cared about human rights, you would call for the prosecution of those who perpetrate these crimes, not blame all people of a certain religion for the actions of a few. (insert example of a recent news story about"
FRT1ST0014HS0043CN001339P2,L'islam pose beaucoup de problèmes à notre société.,Récupération politique.,Islamophobia,generic,hypocrisy,38.0,male,PhD,Https://www.theguardian.com/commentisfree/2016/aug/01/84-per-cent-of-grooming-gangs-are-as
FRT1ST0014HS0011CN001068T1,"Islam is a religion of war, we must all fight.","The Koran does not order war at all but peace and a gentle word. Allah says in the Qur'an: ""By wisdom and good exhortation, call people to the path of your Lord. Discuss with them in the best way"" (Sura 16 years-Nahl, verse 125)",Islamophobia,generic,facts,,,,"Islam is about love, not war. Love does not have to be a religious concept. Love can be between a man and a woman, between a woman and her son, or between a mother and her daughter. Love is possible between people"
FRT1ST0015HS0042CN000444,L'islam nous envahira: c'est l'islamisation.,On est en France chacun choisi la religion qu'il veut personne n envahi personne par contre la bêtise et l ignorance a envahi votre cerveau.,Islamophobia,islamization,"facts , negative",32.0,female,Bachelor,"Islam is not a religion of conquest. It is about love and respect for all religions, including your own. It does not promote discrimination. Islam is a peaceful religion and Muslims are not trying to convert us"
FRT1ST0012HS0037CN001636P2,Les femmes voilées sont misérables et réprimées.,Avez vous discuté avec les femmes voilées pour tenir de tels propos.,Islamophobia,"culture , women",question,34.0,male,Master,"We are all human beings with human rights, and we all have the right to be treated with respect and dignity. No one should be discriminated against on the basis of their gender, sexuality, or religion."
ENT1ST0012HS0088CN000562P1,"Islam is a cult (even if I couldn't say that) that leads us to war, in addition to that they are intolerant, biased,sexist and so on.","Everyone has the right of free speech, while it does not mean anyone can use it to hurt people. Plus, based on what you critisize Islam? I recommend you to read something about true Islam and Muslims. You would find that they are no difference from us.",Islamophobia,"culture , women",facts,29.0,female,Master,"Islam is not a cult. It is a religion, a belief system, and a way of life for a very small"
FRT1ST0022HS0004CN000842P2,L'islam et le terrorisme sont des synonymes.,Pouvez vous m'expliquer chaque terme?,Islamophobia,terrorism,question,36.0,male,Master,"Islam is a religion of peace. Terrorism is a tactic used to achieve social and political ends, not to promote a particular faith or ideology. Islam is about love, tolerance and understanding, not about hate and violence."
ITT1ST0013HS0013CN000312P2,"Gli islamici ricondurrano il nostro paese a stati di arretratezza simili a quelli del medioevo, in cui moriremo per la povertà e le malattie.",È proprio sicuro della sua affermazione? Si è informato prima di scrivere il commento?,Islamophobia,economics,question,17.0,male,Less than high school,Https://www.theguardian.
ITT1ST0001HS0016CN000058,"Li accogliamo a casa nostra, li manteniamo e loro ci ammazzano: sono bestie, non uomini.",Chiunque uccida deve essere punito indipendentemente dalle sue origini o credenze religiose.,Islamophobia,crimes,facts,25.0,male,Bachelor,"Anti-racist is a code word for anti-white, anti-Semitic, and anti-British.   The"
FRT1ST0015HS0042CN000451T1,Islam will invade us: It is Islamization.,Amalgam Islam and Muslims.,Islamophobia,islamization,denouncing,,,,"Islam is a religion of peace, and peace is about love, not hate. Love is about inclusion, not about hate.  Islamophobia is a form of exclusion, hate is about hatred. Love does not discriminate. Hate does not love."
FRT1ST0014HS0021CN001106P2,Les musulmans ne sont pas tolérants aux autres religions.,Ouvrez-vous aux autres.,Islamophobia,generic,other,52.0,male,Bachelor,"I do not think it is a bad idea to try to understand people of different religions and cultures, as long as you don't try to impose your religion on anyone else. This would be a step in the right direction"
FRT1ST0012HS0037CN001585,Les femmes voilées sont soumises et obligées de porter le foulard.,Les femmes voilées en France sont persécutées et surtout discriminées à cause de leurs voiles.,Islamophobia,"culture , women","facts , hypocrisy",39.0,female,Bachelor,Https://www.theguardian.com/commentisfree/2016/aug/01/84-per-cent-of-men-experience-high-
FRT1ST0022HS0014CN000241P1,L'islam et le terrorisme sont des synonymes.,Discours de haine. Pas d'amalgames. Le terrorisme n'est pas lié à une religion ou à une race.,Islamophobia,terrorism,"denouncing , facts",40.0,male,Master,"Islam is a religion of peace. Terrorism is a tactic used to achieve social and political ends, not to promote a particular faith or ideology. Islam is about love, tolerance and understanding, not about hate and violence."
ENT1ST0005HS0037CN000101P1,"British laws are more in favor of Muslims. Muslims will not get punished if they commit a crime, but British people will.",Black people get stopped by the police for no reason other than being black. Muslims get surveyed by PREVENT just for being Muslim. Anyone would think English law has been persecuting Muslims for hundreds of years.,Islamophobia,"crimes , rapism",facts,21.0,female,Bachelor,"If you really cared about human rights, you would call for the prosecution of the perpetrators of these crimes, not blame all Muslims.  Criminals are not all of a certain"
ENT1ST0015HS0059CN001023,Muslim invasion is the new plague of London. They must be repatriated to their home countries!,"In my opinion, many people want to emigrate to London means London is a charming and enjoyable place for living. Isn't that a wonderful thing and we should keep this trait?",Islamophobia,islamization,"facts , positive",29.0,female,Master,"Islam is a religion of peace. It is about love, tolerance and understanding. It does not promote hate or violence.   Muslims do not represent an invasion, they are a part of our country and"
ITT1ST0017HS0050CN000825P1,Tutti gli arabi compiono atti terroristici e vogliono sottometterci per mezzo di violenza e bombe. È opportuno contrastarli con le fiamme.,Quanti musulmani ha conosciuto in vita sua per poter fare questo tipo di giudizio?,Islamophobia,"islamization , terrorism",question,25.0,male,Bachelor,This is not true. Terrorism is a tactic used to achieve
FRT1ST0022HS0014CN000590P1,L'islam et le terrorisme sont des synonymes.,"Si les 1 milliard et demi de musulmans étaient des terroristes, on l'aurait su rapidement.",Islamophobia,terrorism,hypocrisy,35.0,male,Master,"Islam is a religion of peace. Terrorism is a tactic used to achieve social and political ends, not to promote a particular faith or ideology. Islam is about love, tolerance and understanding, not about hate and violence."
FRT1ST0008HS0047CN000731,Ton voile est une agression contre moi.,C'est une question de choix personnel. Ce n'est pas important qui le porte.,Islamophobia,culture,hypocrisy,44.0,female,Some university without degree,"We are all human beings with human rights, and we are all born equal in the eyes of the law. No one is better or worse than the other. What is the difference between a Muslim and a non-Muslim person?"
ENT1ST0008HS0006CN000271P1,"Muslims and islamists are false people that pretend to be victims. In addition to that they criticize other cultures for using violence, although their religion professes that.",Studies have shown that CVs submitted under a non Muslim name are three times more likely to be offered an interview than those with a Muslim name attached.,Islamophobia,culture,facts,25.0,male,Some university without degree,"Islam is not a religion of violence. Islam is a religion about peace. Peace is about loving all people, regardless of their religion."
FRT1ST0014HS0015CN001208,Musulmans: retournez dans votre pays.,Je ne suis plus français ?,Islamophobia,generic,"affiliation , facts",55.0,male,High school,"In the end, it is up to each individual to decide whether or not they want to assimilate or not. If you want to be a part of a multicultural society, you have to accept that there are different ways of life"
ENT1ST0022HS0077CN001233,"Not all Muslims are terrorists, but all terrorists are Muslims.",Apart from all those who use violence/terrorism who are not Muslim?,Islamophobia,terrorism,hypocrisy,25.0,male,Master,Islam is not a religion of terrorism. Islam is a peaceful religion that has been proven time and time again to be much more peaceful than the violent extremist ideologies that have been the cause of terrorist attacks around the world for hundreds of years.
ENT1ST0008HS0073CN000315,Using violence to punish another person? Sounds like a muslim issue.,"The very word islam, which means 'surrender,' is from the arabic salam, or peace - islam is not a violent religion.",Islamophobia,culture,"facts , positive",25.0,female,Bachelor,"If you really cared about human rights, you would call for the prosecution of those who perpetrate these crimes, not blame all people of a certain religion for the actions of a few. (insert example of a recent news story about"
ENT1ST0019HS0015CN001060P2,"When Islam hasn't arrived yet in England, things was good. Now we are full of muslim rapists and it is evident that sexual violence is jihad in England.",How old are you? The first Mosque in the UK was build in 1889!,Islamophobia,rapism,"humor , hypocrisy",61.0,male,Bachelor,"Islam is not a religion of rape. Islam is a religion about peace. Peace is about loving all people, regardless of their religion."
FRT1ST0014HS0043CN001315P1,L'islam crée des problèmes pour notre société.,C'est parce que vous avais pas les bonne montures.,Islamophobia,generic,other,29.0,male,High school,Https://www.theguardian.com/commentisfree/2016/aug/01/84-per-cent-of-grooming-gangs-are-asians-
FRT1ST0015HS0006CN000461T1,Muslims want to make all French meat halal.,Where did you read that?,Islamophobia,islamization,question,,,,Islam is a religion of peace. Muslims do not want to force you to eat halal meat. They want to learn more about different cultures and religions so that they can live in a more peaceful world. They are not imposing their religion on anyone.
ENT1ST0022HS0097CN001214P1,"We should not trust any Muslim, they all could become a terrorist.",How can you say a person is a potential terrorist?,Islamophobia,terrorism,question,25.0,male,Master,"If you really cared about human rights, you would call for the prosecution of the perpetrators of these crimes, not blame all people of a certain religion for the actions of a few.   Islam is a religion of peace."
FRT1ST0012HS0037CN001635,Les femmes voilées sont soumises et obligées de porter le foulard.,Avez vous des preuves de ce que vous avancez?,Islamophobia,"culture , women",question,34.0,male,Master,Https://www.theguardian.com/commentisfree/2016/aug/01/84-per-cent-of-men-experience-high-
FRT1ST0022HS0014CN000621T1,Muslims are all terrorists.,"If that were the case, you wouldn't be here writing me incongruities.",Islamophobia,terrorism,hypocrisy,,,,"Islam is not a religion of terrorism. Islam is a religion about peace. Peace is about loving all people, regardless of their religion. Terrorism does not have anything to do with Islam. Peace does not mean giving up on trying to build a better world for all."
ENT1ST0014HS0108CN000912P1,It is curious that almost all easter eggs are being labelled 'chocolate eggs'. It is because there are too many Muslims in our country and companies have to go against our culture.,"Why do you think it is because of Muslims? To me, globalization and tourism would explain more why Easter Eggs are being labelled 'Chocolate Eggs'.",Islamophobia,generic,"facts , question",29.0,female,Master,"If you really cared about Easter you would know that Easter is not about Easter, it is about peace and security."
ENT1ST0015HS0087CN000980P2,England is becoming a islamic country and the government succumbs to every caprice of Muslims.,Why would you say that? British government has its strict immigration policy which does not allow every Islam or any immigrant.,Islamophobia,islamization,"facts , question",29.0,female,Master,Islam is not a religion of conquest. It is about peaceful coexistence and coexistence of peoples. It does not call for the subjugation of any group. It encourages people to live their lives as
ITT1ST0010HS0057CN000144P1,Che costruiscano nei loro stati moschee.,"Aprire una moschea darebbe lavoro a imprese edilizie e lavoratori. Se sapesse che ci vivrebbero 20 famiglie per 5 anni, sarebbe comunque contrario?",Islamophobia,"culture , islamization","facts , hypocrisy",26.0,female,Bachelor,"We are all human beings, and we are all born equal in the eyes of the law. No one is better or worse than anyone else, and everyone has the right to be treated with respect and dignity. This includes Muslims"
ITT1ST0023HS0055CN001067P2,In Italia non possiamo accogliere donne che decidono di passare la loro vita celate dietro a un velo e accettano violenze da parte del proprio marito. Questo è un paese civilizzato.,"L'italia purtroppo è piena di donne senza velo picchiate dai loro uomini,loro dove dovrebbero vivere?",Islamophobia,women,denouncing,41.0,female,High school,The
FRT1ST0014HS0015CN001244P2,Je ne veux pas de musulmans dans notre pays.,Je suis surement plus légitime dans mon statut de citoyen Français que vous ne l'êtes avec vos propos haineux.,Islamophobia,generic,denouncing,34.0,male,Master,"I do not think it is a bad idea to think about ways in which we can all benefit from the diversity of our societies. Diversity of thought, of ideas, of belief, of language, of art, of finance,"
ITT1ST0013HS0013CN000275P2,"Gli islamici ricondurrano il nostro paese a stati di arretratezza simili a quelli del medioevo, in cui moriremo per la povertà e le malattie.",Non mi risulta che ci siano correlazioni tra la fede islamica e il fatto di essere portatori di malattie.,Islamophobia,economics,facts,26.0,female,Master,Https://www.theguardian.
FRT1ST0023HS0029CN000512,"Les femmes voilées ne travaillent pas, elles sont enfermées à la maison.",Vous avez des stats?,Islamophobia,women,question,55.0,male,High school,Https://www.theguardian.com/commentisfree/2016/aug/01/84-per-cent-of-men-
FRT1ST0012HS0037CN001622,Les femmes voilées sont soumises et obligées de porter le foulard.,Intéresser vous à ceux que la femme voilé à dans la tête et non pas sure la tête.,Islamophobia,"culture , women",hypocrisy,37.0,male,Less than high school,Https://www.theguardian.com/commentisfree/2016/aug/01/84-per-cent-of-men-experience-high-
FRT1ST0022HS0014CN000642T1,Muslims are all terrorists.,We can't say without proof. It has been proven that many attacks attributed to Muslims have in fact been false flag operations.,Islamophobia,terrorism,facts,,,,"Islam is not a religion of terrorism. Islam is a religion about peace. Peace is about loving all people, regardless of their religion. Terrorism does not have anything to do with Islam. Peace does not mean giving up on trying to build a better world for all."
ITT1ST0008HS0019CN000111T1,Islam is a non-peaceful religion that professes violence.,I do not think it professes violence. I know very peaceful Islamics and Catholics stopped to crusades.,Islamophobia,culture,hypocrisy,,,,"Islam is not a violent religion. The Quran does not advocate the use of violence, and the Hadith prove this. The Prophet Muhammad (peace be upon him) was asked to fight the crusaders and he refused, stating that '"
ITT1ST0015HS0003CN000523T1,The Arabs want to impose their religion and to rule in our home. They must be sent back to their house on boats.,Has anyone ever tried to convert you? Me nobody.,Islamophobia,islamization,question,,,,"If you really cared about human rights, you would call for the repatriation of all those who have been persecuted for their religion, ethnicity, or national identity, regardless of their"
FRT1ST0014HS0038CN001023T1,Islam is a religion incompatible with the values ,The majority of Muslims are ordinary citizens. Some can be very orthodox as in all religions.,Islamophobia,generic,facts,,,,"Islam is not incompatible with Western values, nor is it incompatible with  Western values are values of tolerance, human rights, and the rule of law.   Muslims are just as welcome in Western societies as any other religion.  If you really cared about"
FRT1ST0012HS0037CN001615P2,Les femmes voilées sont misérables et réprimées.,Sur quoi faites vous reposer votre affirmation? Je me bas aussi contre l oppression humaine. Alons leur demander de quoi il en revient et agissons si besoin.,Islamophobia,"culture , women","hypocrisy , question",35.0,male,PhD,"We are all human beings with human rights, and we all have the right to be treated with respect and dignity. No one should be discriminated against on the basis of their gender, sexuality, or religion."
ENT1ST0013HS0003CN000600P1,Almost all Muslims deliberately decide not to work.,Did you even bother to google this before you tweeted it? Some Islamophobic tweets are so incorrect I do not know how you could expect anyone to believe them.,Islamophobia,economics,denouncing,22.0,female,Master,"In the US, Muslims make up approximately 13% of the labor force, which is more than three times less than they were in 1900. They are also less likely than whites to have a high school education or a graduate degree. In short, they are"
FRT1ST0008HS0047CN000776P1,Le voile islamique est un assaut pour nous.,Ne porte pas de regard sur moi et j'ai le droit de choisir mes vêtements je suis dans un pays libre.,Islamophobia,culture,hypocrisy,37.0,male,Master,Https://www.theguardian.com/commentisfree/2018/nov/11/84-per-cent-of-grooming-gangs-are-asians-we-dont-
FRT1ST0023HS0029CN000522,"Les femmes voilées ne travaillent pas, elles sont enfermées à la maison.","Si la plupart des femme et enfermées c'est à cause de vous pas de leurs marie ,vous les stigmatisées à chaque fois qu il feulent faire quelque chose vous les bloquer avec vous commentaires raciste.",Islamophobia,women,denouncing,29.0,male,High school,Https://www.theguardian.com/commentisfree/2016/aug/01/84-per-cent-of-men-
FRT1ST0012HS0050CN001472,Le voile islamique est la démonstration d'un islam politique.,"Toutes les nounous et femmes de ménage analphabètes font elle de la politique? Non bien sûr mais celle ci ne nous dérange pas , elles servent!",Islamophobia,"culture , women","hypocrisy , question",50.0,female,Bachelor,"Islam is not a political ideology, it is a religion and a way of life. It is about love and respect for all people, regardless of religion. Islam is a peaceful religion, it does not promote"
ENT1ST0008HS0131CN000410P1,I think is common sense to have prejudice about Islam. This isn't racism because Islam is a cult.,Ah logically and well argued. Not!,Islamophobia,culture,denouncing,50.0,male,Bachelor,"The problem with Islam is that it is about killing infidels. Not all Muslims are terrorists, just like not all Christians are good people. What is the point of believing in a religion that"
ITT1ST0014HS0026CN000352T1,"Bombs on you, bad infamous people (enough is enough stinky)",I perceive from your words a profound sense of rejection of these people that are nothing but people like us who professes a monotheistic religion devoted to love and brotherhood. The violent are just a small part.,Islamophobia,generic,"denouncing , positive",,,,"I do not think it is a good idea to blame an entire group for the actions of a few.  If you want a peaceful solution to the problem, you should talk to those responsible for creating the problems in the first place"
FRT1ST0022HS0014CN000266P2,Les terroristes sont musulmans.,L'islam est une religion de paix n'en déplaise aux terroristes.,Islamophobia,terrorism,positive,41.0,male,Bachelor,"If you really cared about human rights, you would call for the prosecution of those responsible for the terrorist attacks that have struck our country in recent years. But you would be denounced as a racist and your call would be ignored. Instead, we must focus on"
FRT1ST0014HS0021CN001121P1,Les musulmans ne sont pas tolérants envers les non-musulmans.,C'est faux la religion musulmane et la plus fraternelle des religion pour tous le Monde.,Islamophobia,generic,facts,29.0,male,High school,Https://www.theguardian.com/commentisfree/2018/nov/11/84-per-cent-of-europe-men-are-african-
ENT1ST0008HS0063CN000307P1,"Liberal ideas are wrong, they want us to think that Islam is good but in reality it is a cult about war and violence.",My dentist told me the Quran says: 'GOD does not love the aggressors.'?,Islamophobia,culture,facts,61.0,male,Bachelor,"Islam is not a religion of violence. Islam is a religion about peace. Peace is about loving all people, regardless of their religion. Islam does not promote violence. Peace"
FRT1ST0012HS0050CN001385P1,Le voile représente l'humeur politique des musulmans.,Quid des sog'es Dans les autres religions?,Islamophobia,"culture , women","hypocrisy , question",36.0,male,Master,Https://www.theguardian.com/commentisfree/2018/nov/11/immigrant-muslim-cancer-research-uncovered-despite-years-of-refrain
FRT1ST0014HS0046CN000130T1,Islam is a disease that must be eradicated.,"Start with Islamophobia, a real scourge.",Islamophobia,generic,denouncing,,,,"Islam is not a disease. It is a religion, a belief system, and a way of life for a large number of people all over the world. I do not see how eradicating a religion would be a bad thing. What is wrong is"
ITT1ST0023HS0055CN001066P1,Una donna che permette di farsi coprire con un velo e farsi malmenare da proprio marito non è degna di abitare in uno stato evoluto come l'Italia.,"Come si fa a credere che esista qualcuno che accetta di essere picchiato? Dovremmo concentrarci sul come aiutare queste donne, che siano velate o meno, che siano italiane o meno!",Islamophobia,women,hypocrisy,41.0,female,High school,I do not think it is
FRT1ST0022HS0014CN000620,Les musulmans sont tous des terroristes.,L'islam interdit le terrorisme.,Islamophobia,terrorism,facts,55.0,male,High school,This is not true. Muslims are not terrorists. They are just trying to live their lives as best they can under the existing social and political circumstances in the country they live in.   They are human beings with human rights. Counter-
ENT1ST0001HS0092CN000006P1,I am done with Islam and isis. All Muslims should be sent to their homeland. Britain will be better without their violence and ideology.,This is not true. How can you say this about an entire faith?,Islamophobia,crimes,denouncing,25.0,male,Master,"If you really cared about human rights, you would call for the repatriation of all those Muslims who have been proven time and time again to be nothing but trouble"
FRT1ST0023HS0029CN000524T1,The veiled women do not work. They are locked up at home.,You have to make the difference between choosing and locking them up.,Islamophobia,women,facts,,,,"In the US, women make up about half of all workers, and they have been and continue to be the primary breadwinners for most families. They should have the same opportunities as men to earn money and provide for their families"
FRT1ST0012HS0037CN000327P1,Les femmes voilées sont misérables et portent le voile contre leur volonté.,"Si vous avez des exemples auprès de votre entourage pour laquelle la personne a été obligée, conseillez à cette personne qu'elle peut porter plainte.",Islamophobia,"culture , women",hypocrisy,40.0,male,Master,Https://www.theguardian.com/commentisfree/2016/aug/01/84-per-cent-of-men-experience
ITT1ST0010HS0057CN000147T1,They should open the mosques at their homes.,For members of Islamic communities in Italy and in Europe this is their home.,Islamophobia,"culture , islamization",facts,,,,"If you really cared about human rights, you would call for the prosecution of these individuals and the closure of all Muslim mosques. But you are too busy scapegoating other cultures for the ills of Islam. Stop islamophobia now and work on building bridges"
ITT1ST0008HS0043CN000132P2,Non sopporto i musulmani: il loro profeta è dappertutto.,Se ne faccia una ragione perché anche tra i non musulmani ci sono eccessi di ogni tipo come controllare la libertà affettiva e sessuale delle donne.,Islamophobia,culture,"facts , hypocrisy",59.0,female,Bachelor,"Non-muslims are more likely to be unemployed, less likely to have a job, live in poverty and experience a host of other problems.   Muslims, on the other"
FRT1ST0015HS0006CN000458T1,Muslims want to make all French meat halal.,Every cult has its own meat. How is it a problem for you to eat hallal meat as long as you have no ban?,Islamophobia,islamization,question,,,,Islam is a religion of peace. Muslims do not want to force you to eat halal meat. They want to learn more about different cultures and religions so that they can live in a more peaceful world. They are not imposing their religion on anyone.
ITT1ST0013HS0013CN000253,Questi islamici ci riporteranno al medioevo. Faremo la fame e moriremo per malattie che erano scomparse.,Anche i musulmani hanno diritto a praticare la propria religione.,Islamophobia,economics,facts,25.0,female,PhD,Https://www.theguardian.com/commentisfree/2016/aug/01/immigrant-
FRT1ST0014HS0008CN001088P1,Les musulmans doivent se convertir ou quitter la France.,L'intégration forcée avec souhait d'assimilation est un critère de dictature.,Islamophobia,generic,hypocrisy,31.0,male,PhD,I do not think it is a good idea to talk about people of a certain religion being “chosen” to be “proper” citizens of a country. I think it’s
ITT1ST0015HS0036CN000585P1,"È imbarazzante che non ci siano più i crocefissi nelle scuole, non rispetta la nostra religione.",Ma una mancanza di rispetto verso chi?,Islamophobia,islamization,question,34.0,male,Master,"I do not think it is appropriate to use religion as an excuse to discriminate against anyone, especially when there are so"
FRT1ST0015HS0042CN000390P1,L'islamisation est une menace.,"Cela fait 60 ans que vous tenez le même discours,être rien ne a été envahi.",Islamophobia,islamization,"facts , hypocrisy",55.0,male,High school,"Islam is a religion of peace. It is about love, tolerance and understanding. It has nothing to do with hatred and violence. Islam is not a violent religion and does not promote the use of violence. Muslims are human beings with human rights."
ENT1ST0022HS0050CN001251P2,"You could say that nowadays only 5-10% of Muslims are extremists, but remember that in 1940 only 7% germans were Nazis.","So more than 95% are fighting extremism and spreading peace and tolerance, there are extremists in every group.",Islamophobia,terrorism,facts,22.0,female,Master,If you really cared about human rights you would call your statistics agency and ask them to compile a complete list of extremist and terrorist organisations in the UK.  Counter
FRT1ST0015HS0042CN000376P2,L'islamisation est nuisible.,"L'islam se répandra par amour par rédemption mais pas par la terreur. Les personnes choisiront le chemin de la vérité, de la bienveillance, de la bienfaisance.",Islamophobia,islamization,facts,39.0,female,High school,"Islam is a religion of peace. It is about love, tolerance and understanding. It does not promote hate or violence. Muslims are not trying to convert us all to Islam. Instead, they are trying to build bridges of understanding and understanding between different communities."
FRT1ST0014HS0038CN001044T1,Islam is a religion incompatible with the values ,"Islam also advocates freedom, equality and fraternity. This is visible in many verses and prophetic words.",Islamophobia,generic,facts,,,,"Islam is not incompatible with Western values, nor is it incompatible with  Western values are values of tolerance, human rights, and the rule of law.   Muslims are just as welcome in Western societies as any other religion.  If you really cared about"
ENT1ST0014HS0047CN000871,Someone needs to put those Muslims in a hole in the ground before they start to blow us all up again.,"Don't believe biased media coverage about all Muslims being terrorists, the vast majority of Muslims condemn these people. The world is a much better place than what is portrayed in the news.",Islamophobia,generic,facts,21.0,female,Master,"You are welcome in my house, if you want. But please do not ask about sexual violence committed by muslim gangs in different cities of England. This is a scandal and the police and"
ENT1ST0023HS0009CN001274,"Liberal double standards! Muslims oppress women, homosexuals and other cultures but are not held responsible due to our society's tolerance! The government should stop submitting to these people.","Actually, this survey of Muslim's social attitudes says otherwise: https://www.independent.co.uk/voices/british-muslims-ipsos-mori-liberal-imams-islam-a8334196.html.",Islamophobia,women,facts,21.0,female,Bachelor,"If you really cared about human rights, you would call for the prosecution of the perpetrators of these crimes, not blame all Muslims."
ENT1ST0013HS0003CN000582,The vast majority of Muslims are unemployed and refuse to work.,Discrimination by employers in Europe against Muslims has been noted to be a cause of lesser employment figures of Muslims in the workforce.,Islamophobia,economics,facts,28.0,female,Master,"In the UK, Muslims make up about 12% of the workforce, which is more than three times less than they were in the 1930s.   They are also more likely to be self-employed, contributing more to the economy than"
FRT1ST0012HS0037CN001683T1,Veiled women are subjected and forced to wear the headscarf.,"Coercion is forbidden in religion, according to the Koran. We can assume that it is their own will.",Islamophobia,"culture , women",facts,,,,"In the West, women are free to wear what they want, as long as they do not expose their faces to men's eyes. In Islamic countries like Morocco, Saudi Arabia, and Oman women are not allowed to wear burq"
FRT1ST0014HS0038CN001009,L'islam est une religion incompatible avec les valeurs de la République.,Les valeurs de république ne sont pas en opposition avec celles de l'islam. C'est faux.,Islamophobia,generic,facts,28.0,male,Master,"Islam is not incompatible with the French Republic, nor with the values of the Republic. Islam is a religion, a belief system, and a way of life. It is important to understand that it is"
